"order","family"
"Passeriformes","Hirundinidae (Swallows)"
"Passeriformes","Stenostiridae (Fairy Flycatchers)"
"Passeriformes","Paridae (Tits/Chickadees/Titmice)"
"Passeriformes","Remizidae (Penduline-Tits)"
"Passeriformes","Aegithalidae (Long-tailed Tits)"
"Passeriformes","Sittidae (Nuthatches)"
"Passeriformes","Tichodromidae (Wallcreeper)"
"Passeriformes","Certhiidae (Treecreepers)"
"Passeriformes","Troglodytidae (Wrens)"
"Passeriformes","Polioptilidae (Gnatcatchers)"
"Passeriformes","Cinclidae (Dippers)"
"Passeriformes","Pycnonotidae (Bulbuls)"
"Passeriformes","Regulidae (Kinglets)"
"Passeriformes","Pnoepygidae (Cupwings)"
"Passeriformes","Macrosphenidae (African Warblers)"
"Passeriformes","Scotocercidae (Bush Warblers and Allies)"
"Passeriformes","Phylloscopidae (Leaf Warblers)"
"Passeriformes","Acrocephalidae (Reed Warblers and Allies)"
"Passeriformes","Locustellidae (Grassbirds and Allies)"
"Passeriformes","Donacobiidae (Donacobius)"
"Passeriformes","Bernieridae (Malagasy Warblers)"
"Passeriformes","Cisticolidae (Cisticolas and Allies)"
"Passeriformes","Sylviidae (Sylviid Warblers)"
"Passeriformes","Paradoxornithidae (Parrotbills/Wrentit/Allies)"
"Passeriformes","Zosteropidae (White-eyes/Yuhinas/Allies)"
"Passeriformes","Timaliidae (Tree-Babblers/Scimitar-Babblers/Allies)"
"Passeriformes","Pellorneidae (Ground Babblers and Allies)"
"Passeriformes","Leiothrichidae (Laughingthrushes and Allies)"
"Passeriformes","Promeropidae (Sugarbirds)"
"Passeriformes","Modulatricidae (Dapple-throat and Allies)"
"Passeriformes","Irenidae (Fairy-bluebirds)"
"Passeriformes","Hyliotidae (Hyliotas)"
"Passeriformes","Muscicapidae (Old World Flycatchers)"
"Passeriformes","Turdidae (Thrushes and Allies)"
"Passeriformes","Mimidae (Mockingbirds and Thrashers)"
"Passeriformes","Sturnidae (Starlings)"
"Passeriformes","Buphagidae (Oxpeckers)"
"Passeriformes","Chloropseidae (Leafbirds)"
"Passeriformes","Dicaeidae (Flowerpeckers)"
"Passeriformes","Nectariniidae (Sunbirds and Spiderhunters)"
"Passeriformes","Prunellidae (Accentors)"
"Passeriformes","Motacillidae (Wagtails and Pipits)"
"Passeriformes","Urocynchramidae (Przevalski's Pinktail)"
"Passeriformes","Elachuridae (Spotted Elachura)"
"Passeriformes","Bombycillidae (Waxwings)"
"Passeriformes","Mohoidae (Hawaiian Honeyeaters)"
"Passeriformes","Ptiliogonatidae (Silky-flycatchers)"
"Passeriformes","Dulidae (Palmchat)"
"Passeriformes","Hylocitreidae (Hylocitrea)"
"Passeriformes","Hypocoliidae (Hypocolius)"
"Passeriformes","Peucedramidae (Olive Warbler)"
"Passeriformes","Fringillidae (Finches/Euphonias/Allies)"
"Passeriformes","Calcariidae (Longspurs and Snow Buntings)"
"Passeriformes","Rhodinocichlidae (Thrush-Tanager)"
"Passeriformes","Emberizidae (Old World Buntings)"
"Passeriformes","Passerellidae (New World Sparrows)"
"Passeriformes","Calyptophilidae (Chat-Tanagers)"
"Passeriformes","Phaenicophilidae (Hispaniolan Tanagers)"
"Passeriformes","Nesospingidae (Puerto Rican Tanager)"
"Passeriformes","Spindalidae (Spindalises)"
"Passeriformes","Zeledoniidae (Wrenthrush)"
"Passeriformes","Teretistridae (Cuban Warblers)"
"Passeriformes","Icteriidae (Yellow-breasted Chat)"
"Passeriformes","Icteridae (Troupials and Allies)"
"Passeriformes","Parulidae (New World Warblers)"
"Passeriformes","Mitrospingidae (Mitrospingid Tanagers)"
"Passeriformes","Cardinalidae (Cardinals and Allies)"
"Passeriformes","Thraupidae (Tanagers and Allies)"
"Passeriformes","Passeridae (Old World Sparrows)"
"Passeriformes","Ploceidae (Weavers and Allies)"
"Passeriformes","Estrildidae (Waxbills and Allies)"
"Passeriformes","Viduidae (Indigobirds)"
