Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S57790989,Canada Goose,Branta canadensis,297,40,US-AK,Anchorage,L716993,Tony Knowles Coastal Trail--Chester Creek to Fish Creek,61.2066445,-149.9292961,2019-06-28,08:45 PM,eBird - Traveling Count,150,1,4.828,,1,FL Recently Fledged Young
S57671731,Canada Goose,Branta canadensis,297,10,US-AK,Anchorage,L159273,Tony Knowles Coastal Trail--Chester Creek to Ship Creek,61.2155506,-149.9119878,2019-06-24,09:30 PM,eBird - Traveling Count,59,1,3.219,,1
S57680088,Canada Goose,Branta canadensis,297,20,US-AK,Anchorage,L159273,Tony Knowles Coastal Trail--Chester Creek to Ship Creek,61.2155506,-149.9119878,2019-06-25,06:40 AM,eBird - Traveling Count,67,1,2.414,,2
S32297342,Canada Goose,Branta canadensis,297,30,US-ME,Androscoggin,L466262,Sabattus Pond,44.1283834,-70.0992966,2016-10-30,01:56 PM,eBird - Stationary Count,30,1,,,2,,,No SAGU
S32380386,Canada Goose,Branta canadensis,297,100,US-ME,Androscoggin,L466262,Sabattus Pond,44.1283834,-70.0992966,2016-11-05,11:50 AM,eBird - Traveling Count,120,1,3.219,,6
S24216976,Canada Goose,Branta canadensis,297,5,CA-NB,Charlotte,L246774,Kent Island,44.5753435,-66.7548696,2015-07-10,02:00 PM,eBird - Traveling Count,180,1,3.219,,1
S30817056,Canada Goose,Branta canadensis,297,30,CA-NB,Charlotte,L246774,Kent Island,44.5753435,-66.7548696,2016-07-20,03:00 PM,eBird - Traveling Count,120,1,3.219,,2
S37818957,Canada Goose,Branta canadensis,297,750,CA-MB,Churchill and Northern Manitoba,L6022878,Churchill--Before Town,58.7517337,-94.141081,2017-06-26,10:20 AM,IBA Canada (protocol),10,1,.161,,2,,Includes leucistic individual (photo),,62002381
S37341808,Canada Goose,Branta canadensis,297,50,CA-MB,Churchill and Northern Manitoba,L551923,Churchill--Bird Cove,58.7503943,-93.883667,2017-06-02,01:16 PM,eBird - Traveling Count,120,1,1.609,,2
S37479643,Canada Goose,Branta canadensis,297,40,CA-MB,Churchill and Northern Manitoba,L551923,Churchill--Bird Cove,58.7503943,-93.883667,2017-06-08,01:11 PM,IBA Canada (protocol),180,1,3.219,,2
S37577527,Canada Goose,Branta canadensis,297,30,CA-MB,Churchill and Northern Manitoba,L551923,Churchill--Bird Cove,58.7503943,-93.883667,2017-06-13,01:55 PM,IBA Canada (protocol),68,1,1.609,,2
S37839518,Canada Goose,Branta canadensis,297,20,CA-MB,Churchill and Northern Manitoba,L551923,Churchill--Bird Cove,58.7503943,-93.883667,2017-06-27,01:40 PM,IBA Canada (protocol),58,1,3.219,,2
S37433321,Canada Goose,Branta canadensis,297,6,CA-MB,Churchill and Northern Manitoba,L5942292,Churchill--Blue Balls,58.7658932,-93.9265823,2017-06-06,10:30 AM,IBA Canada (protocol),60,1,1.609,,2
